0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
-1 0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 
-2 0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 
-3 -1 -1 0 0 0 0 1 1 1 1 2 2 2 2 3 3 3 3 4 
-4 -1 -1 0 0 0 0 1 1 1 1 2 2 2 2 3 3 3 3 4 
-5 -2 -2 0 0 0 0 1 1 1 1 2 2 2 2 3 3 3 3 4 
-6 -2 -2 0 0 0 0 1 1 1 1 2 2 2 2 3 3 3 3 4 
-7 -3 -3 -1 -1 -1 -1 0 0 0 0 0 0 0 0 1 1 1 1 1 
-8 -3 -3 -1 -1 -1 -1 0 0 0 0 0 0 0 0 1 1 1 1 1 
-9 -4 -4 -1 -1 -1 -1 0 0 0 0 0 0 0 0 1 1 1 1 1 
-10 -4 -4 -1 -1 -1 -1 0 0 0 0 0 0 0 0 1 1 1 1 1 
-11 -5 -5 -2 -2 -2 -2 0 0 0 0 0 0 0 0 1 1 1 1 1 
-12 -5 -5 -2 -2 -2 -2 0 0 0 0 0 0 0 0 1 1 1 1 1 
-13 -6 -6 -2 -2 -2 -2 0 0 0 0 0 0 0 0 1 1 1 1 1 
-14 -6 -6 -2 -2 -2 -2 0 0 0 0 0 0 0 0 1 1 1 1 1 
-15 -7 -7 -3 -3 -3 -3 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 
-16 -7 -7 -3 -3 -3 -3 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 
-17 -8 -8 -3 -3 -3 -3 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 
-18 -8 -8 -3 -3 -3 -3 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 
-19 -9 -9 -4 -4 -4 -4 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 
Alice
